Identifier,Responsible partner,Competency Question / Natural language sentence (fact),Answer (For Competency Questions),"Status (Proposed, Accepted, Rejected, Deprecated)",Comments (optional),Extracted from (provenance),"Priority (High, Medium, Low) (optional)",Relation with other requirements (optional),Associated ontology elements,Relation to ontology elements in other domains
miUrba17,UPM,Un servicio contratado es prestado por un proveedor,,Proposed,,Documento requisitos Rastreator,,,"ServicioContratado, Proveedor, prestadoPor","Schema.org: Person, Organization"
miUrba18,UPM,Un servicio contratado se presta bajo una determinada modalidad,,Proposed,,Documento requisitos Rastreator,,,"ServicioContratado, modalidadDeServicio","SKOS: Concept, esquema modalidadServicio"
miUrba19,UPM,Un servicio contratado se presta con una determinada frecuencia,,Proposed,,Documento requisitos Rastreator,,,"ServicioContratado, tieneFrecuenciaDeServicio","SKOS: Concept, esquema frecuenciaServicio"
miUrba20,UPM,La prestación de un servicio contratado está regulada por un contrato,,Proposed,,Documento requisitos Rastreator,,,"ServicioContratado, Contrato, tieneContrato",
miUrba21,UPM,Una comunidad de vecinos registra gastos comunitarios ordinarios y extraordinarios,,Proposed,,Documento requisitos Rastreator,,,"ComunidaDeVecinos, GastoComunitario, GastoOrdinario, GastoExtraordinario, tieneGastoComunitario",
miUrba22,UPM,Los servicios se clasifican según el tipo de necesidad que cubren,,Proposed,,Documento requisitos Rastreator,,miUrba16,"Servicio, tieneTipoDeServicio","SKOS: Concept, esquema tipoServicio"
miUrba23,UPM,Un servicio contratado puede actuar sobre una instalación común del edificio,,Proposed,,Documento requisitos Rastreator,,"miUrba4, miUrba16","ServicioContratado, InstalacionComun, cubreInstalacionComun",
miUrba24,UPM,Las instalaciones comunes de un edificio se clasifican según su tipo,,Proposed,,Documento requisitos Rastreator,,miUrba4,"Edificio, InstalacionComun, disponeDeInstalacionComun, tipoDeInstalacionComun","SKOS: Concept, esquema tipoInstalacion"
miUrba25,UPM,Un proveedor presta un determinado tipo de servicio contratado,,Proposed,,Documento requisitos Rastreator,,"miUrba16, miUrba17, miUrba22","ServicioContratado, Servicio, Proveedor, correspondeAServicio, tieneTipoDeServicio, prestadoPor","SKOS: esquema tipoServicio; Schema.org: Person, Organization"
miUrba26,UPM,Un servicio contratado tiene una modalidad y la frecuencia con la que se presta,,Proposed,,Documento requisitos Rastreator,,"miUrba18, miUrba19","ServicioContratado, modalidadDeServicio, tieneFrecuenciaDeServicio","SKOS: esquemas modalidadServicio, frecuenciaServicio"
miUrba27,UPM,Es posible conocer qué servicios contratados cubren una determinada instalación común,,Proposed,,Documento requisitos Rastreator,,"miUrba23, miUrba24","ServicioContratado, InstalacionComun, cubreInstalacionComun, tipoDeInstalacionComun",SKOS: esquema tipoInstalacion
miUrba28,UPM,Un gasto comunitario puede corresponder a un servicio contratado,,Proposed,,Documento requisitos Rastreator,,"miUrba16, miUrba21","GastoComunitario, ServicioContratado, correspondeAServicioContratado",
miUrba29,UPM,Es posible conocer el servicio y el proveedor relacionados con un gasto comunitario,,Proposed,,Documento requisitos Rastreator,,"miUrba17, miUrba28","GastoComunitario, ServicioContratado, Servicio, Proveedor, correspondeAServicioContratado, correspondeAServicio, prestadoPor","Schema.org: Person, Organization"
miUrba30,UPM,Cada gasto comunitario registra un concepto y un importe,,Proposed,,Documento requisitos Rastreator,,miUrba21,"GastoComunitario, conceptoGasto, importe","XSD: string, decimal"
miUrba31,UPM,Una comunidad de vecinos establece cuotas comunitarias con un determinado importe y periodicidad,,Proposed,,Documento requisitos Rastreator,,miUrba21,"ComunidaDeVecinos, CuotaComunitaria, tieneCuotaComunitaria, importeTotal, periodicidad","XSD: decimal, string"
miUrba32,UPM,Un proveedor se identifica mediante su nombre y su identificador fiscal,,Proposed,,Documento requisitos Rastreator,,miUrba17,"Proveedor, nombreProveedor, identificadorFiscal",
miUrba33,UPM,"Es posible conocer qué sistema de calefacción utiliza un edificio, su modalidad de suministro y su fuente energética",,Proposed,,Documento requisitos Rastreator,,"miUrba10, miUrba12","Edificio, SistemaDeCalefaccion, tieneSistemaDeCalefaccion, modalidadDeSuministro, tipoDeFuenteEnergetica","SKOS: esquemas modalidadSuministro, tipoFuenteEnergetica"
miUrba34,UPM,"Es posible conocer qué sistema de agua caliente sanitaria utiliza un edificio, su modalidad de suministro y su fuente energética",,Proposed,,Documento requisitos Rastreator,,miUrba11,"Edificio, SistemaACS, tieneSistemaDeACS, modalidadDeSuministro, tipoDeFuenteEnergetica","SKOS: esquemas modalidadSuministro, tipoFuenteEnergetica"
miUrba35,UPM,"Es posible conocer las características principales de un edificio, incluyendo su número de plantas, número de viviendas, ascensor, fecha de construcción y calificación energética",,Proposed,,Documento requisitos Rastreator,,"miUrba7, miUrba8, miUrba9","Edificio, numeroDePlantas, numeroDeViviendas, tieneAscensor, fechaConstruccion, calificacionEnergetica",XSD
